11,Product B1,200,Supplier 2,2024-08-28 05:55:54.147484,29.99
31,Product D1,400,Supplier 4,2024-08-28 05:55:54.147756,49.99
21,Product C1,300,Supplier 3,2024-08-28 05:55:54.147634,39.99
1,Product A1,100,Supplier 1,2024-08-28 05:55:54.147207,19.99
2,Product A2,101,Supplier 1,2024-08-28 05:55:54.147207,20.99
12,Product B2,201,Supplier 2,2024-08-28 05:55:54.147484,30.99
22,Product C2,301,Supplier 3,2024-08-28 05:55:54.147634,40.99
32,Product D2,401,Supplier 4,2024-08-28 05:55:54.147756,50.99
3,Product A3,102,Supplier 1,2024-08-28 05:55:54.147207,21.99
13,Product B3,202,Supplier 2,2024-08-28 05:55:54.147484,31.99
23,Product C3,302,Supplier 3,2024-08-28 05:55:54.147634,41.99
4,Product A4,103,Supplier 1,2024-08-28 05:55:54.147207,22.99
33,Product D3,402,Supplier 4,2024-08-28 05:55:54.147756,51.99
14,Product B4,203,Supplier 2,2024-08-28 05:55:54.147484,32.99
24,Product C4,303,Supplier 3,2024-08-28 05:55:54.147634,42.99
15,Product B5,204,Supplier 2,2024-08-28 05:55:54.147484,33.99
25,Product C5,304,Supplier 3,2024-08-28 05:55:54.147634,43.99
34,Product D4,403,Supplier 4,2024-08-28 05:55:54.147756,52.99
5,Product A5,104,Supplier 1,2024-08-28 05:55:54.147207,23.99
16,Product B6,205,Supplier 2,2024-08-28 05:55:54.147484,34.99
35,Product D5,404,Supplier 4,2024-08-28 05:55:54.147756,53.99
6,Product A6,105,Supplier 1,2024-08-28 05:55:54.147207,24.99
26,Product C6,305,Supplier 3,2024-08-28 05:55:54.147634,44.99
17,Product B7,206,Supplier 2,2024-08-28 05:55:54.147484,35.99
36,Product D6,405,Supplier 4,2024-08-28 05:55:54.147756,54.99
27,Product C7,306,Supplier 3,2024-08-28 05:55:54.147634,45.99
18,Product B8,207,Supplier 2,2024-08-28 05:55:54.147484,36.99
7,Product A7,106,Supplier 1,2024-08-28 05:55:54.147207,25.99
37,Product D7,406,Supplier 4,2024-08-28 05:55:54.147756,55.99
28,Product C8,307,Supplier 3,2024-08-28 05:55:54.147634,46.99
19,Product B9,208,Supplier 2,2024-08-28 05:55:54.147484,37.99
8,Product A8,107,Supplier 1,2024-08-28 05:55:54.147207,26.99
38,Product D8,407,Supplier 4,2024-08-28 05:55:54.147756,56.99
29,Product C9,308,Supplier 3,2024-08-28 05:55:54.147634,47.99
20,Product B10,209,Supplier 2,2024-08-28 05:55:54.147484,38.99
9,Product A9,108,Supplier 1,2024-08-28 05:55:54.147207,27.99
39,Product D9,408,Supplier 4,2024-08-28 05:55:54.147756,57.99
30,Product C10,309,Supplier 3,2024-08-28 05:55:54.147634,48.99
10,Product A10,109,Supplier 1,2024-08-28 05:55:54.147207,28.99
40,Product D10,409,Supplier 4,2024-08-28 05:55:54.147756,58.99
